Company,Date,Tweet
$HD,11/28/18,"Wed. Nov. 28, 2018
Top 5 stocks..
Up:
$SAVE $NFLX $HD $ASNS $LOW
$AMZN $CRM $BURL $GOOGL $BA
$ADBE $NFLX $W

&amp;

Dowâ€¦ https://t.co/CtjEhBHAvh"
$HD,11/28/18,"The #HomeDepot Inc. ( $HD ) Stocks seek more gains, one of the Best U.S. #ConsumerStocks. https://t.co/PqeoEAh4BE"
$HD,11/28/18,"5 Best U.S. Consumer Stocks https://t.co/foY1SXgTRg $DIS, $SBUX, $VFC, $HD, $GNTX"
$HD,11/28/18,Cincinnati Insurance Company Has Upped Its Analog Devices Ord $ADI Position; Jefferies Group Cut By $28.97 Millionâ€¦ https://t.co/L02N1v4pnF
$HD,11/28/18,Largest $Notional Sell On Close Order Imbalances $AET $IT $HCA $C $HD $ZAYO $USFD $RPM $BAC $RTN https://t.co/V7Aciy2vFa
$HD,11/28/18,Made $20k today. Thanks to the option trades from https://t.co/dUZ5RTtMna $HD $BZUN $AAP $CRON $CSIQ $TPR $EAT $CAEâ€¦ https://t.co/Ojj0oWh58F
$HD,11/28/18,#estate asset watch - price x volume leaders today - $AMZN $AAPL $MSFT $NFLX $FB $BABA $CRM $NVDA $AMD $GOOGâ€¦ https://t.co/vRLTFyLTgM
$HD,11/28/18,#estate asset watch - top Dow 30 gainers today $DIA - $BA $UNH $CAT $AAPL $V $HD $GS $MSFT $MMM $MCD $AXP $IBM $JNJâ€¦ https://t.co/RyHcnvl83Y
$HD,11/28/18,and i saw $HD at 9:45. smh. was like perfecto. No execution.
$HD,11/28/18,"Did'nt take $AAPL or $HD calls yesterday, miss the $GBTC bounce. poopy.  Only play left for me im waiting on is oilâ€¦ https://t.co/e5opQkuNVQ"
$HD,11/28/18,"Trade Alert - Exit - HD

49.57% gain on call options

$HD"
$HD,11/28/18,Had an awesome long entry on $HD 3 contracts and once Powell started speaking it started to spike. Ended up going uâ€¦ https://t.co/5YgKm9roAz
$HD,11/28/18,$HD Took 1/4th off @ 176 for 2.4% gains. Holding final 2/3rd swing now
$HD,11/28/18,$HD sold my payday shares for some great coin.  Holding full swing &amp; in time might get to place some in the let it ride folder.  Stop raised
$HD,11/28/18,"Highlighted $HD yesterday; https://t.co/EN6Tdle1g2, moving well today(+1.7%), opened long this morn($172.01), sureâ€¦ https://t.co/ArtJMpLDwX"
$HD,11/28/18,Wow these $HD allready 4.06 from 2.21 ðŸ˜€  @pappystar deserves credits for bringing this to my attention ðŸ˜Š
$HD,11/28/18,which event will provide the next market drive after Mr. Powell's speech? $SPY $DIA $UCO $GLD $IWM $XLK $XLE $XLFâ€¦ https://t.co/yrEFxbmey5
$HD,11/28/18,$AAPL $AMZN $ADBE $MSFT $HD Welcome back. Dow +500 now.
$HD,11/28/18,"$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 millâ€¦ https://t.co/LRnVAgiXap"
$HD,11/28/18,"$GRWG The Company had $14.3 million in cash and cash equivalents at September 30, 2018 #Hemp #Cannabis #Hydroponicsâ€¦ https://t.co/Hi3IRSLuF8"
$HD,11/28/18,"$GRWG YTD revenue of $20 million, up 86% compare to YTD revenue of $10.7 million for 2017 #Hemp #Cannabisâ€¦ https://t.co/nzfdHqU120"
$HD,11/28/18,"$GRWG Revenue of $8.4 million, up 109%, compared to revenue of $4.0 million for the 3rd quarter of 2017 #Hempâ€¦ https://t.co/IWVbk9lSmI"
$HD,11/28/18,"$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 millâ€¦ https://t.co/2dhvh017rO"
$HD,11/28/18,"$GRWG Revenue run rate guidance in excess of $42 million heading into 2019, $10.0 million for Q4 2018 #Hempâ€¦ https://t.co/jflMeYNsez"
$HD,11/28/18,"$GRWG Revenue run rate guidance in excess of $42 million heading into 2019, $10.0 million for Q4 2018 #Hempâ€¦ https://t.co/D4DtsWXOi0"
$HD,11/28/18,"$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 millâ€¦ https://t.co/Aionx6m2i3"
$HD,11/28/18,"$GRWG Revenue of $8.4 million, up 109%, compared to revenue of $4.0 million for the 3rd quarter of 2017 #Hempâ€¦ https://t.co/GxARNMbd8d"
$HD,11/28/18,"$GRWG YTD revenue of $20 million, up 86% compare to YTD revenue of $10.7 million for 2017 #Hemp #Cannabisâ€¦ https://t.co/Oyc5zruM1F"
$HD,11/28/18,"$GRWG The Company had $14.3 million in cash and cash equivalents at September 30, 2018 #Hemp #Cannabis #Hydroponicsâ€¦ https://t.co/jFvCxuTKDO"
$HD,11/28/18,"$GRWG Three new stores acquired in Q3 2018, one of which was our new e-commerce site, https://t.co/XcWg8PnNddâ€¦ https://t.co/uMeyQidwwB"
$HD,11/28/18,"$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 millâ€¦ https://t.co/6cH05Mgz1o"
$HD,11/28/18,"$GRWG Darren Lampert, Co-Founder and CEO, said, ""This was another great quarter of growth for GrowGeneration, withâ€¦ https://t.co/MCqD0lRBwf"
$HD,11/28/18,"$GRWG $ACB GrowGeneration Corp Revenue up 86% to $20.0 million for 9 Months, Aurora Cannabis revenue up 260% year oâ€¦ https://t.co/iEltCaU3iZ"
$HD,11/28/18,Closing my $HD position of 1000 shares that was opened today for a 2.68% gain.
$HD,11/28/18,@SunriseTrader ðŸ˜€Â $HD Nice continuation today.
$HD,11/28/18,@TraderAmogh Ty  $HD working for us both. WTG
$HD,11/28/18,"Yes  , profit taking day $spy $msft $hd  $eww https://t.co/YC4JA46aML"
$HD,11/28/18,$WMT $HD $DG - U.S. retailers prep for new tariffs https://t.co/ClQfmRqRW6
$HD,11/28/18,"#Dividend Today
$AAON $ADI $CWAI $DNBF $ERF $EVRG $FBND $FCOR $FDHY $FLDR $FLTB $GFF $HD $IBD $KCCB $KCNY $LSSTâ€¦ https://t.co/pHZnjRKCnf"
$HD,11/28/18,#estate asset watch- price x volume leaders this morning - $AMZN $AAPL $CRM $AMD $MSFT $BABA $NVDA $NFLX $FB $BAâ€¦ https://t.co/tTlWOl3aeU
$HD,11/28/18,RT @MarketStatisti1: Markets reaction to Chairman Powell's speech on Wednesday? $SPY $DIA $UCO $GLD $IWM $XLF $XLK $XLE $XLU $XLV $XLP $XLYâ€¦
$HD,11/28/18,"$MS $BEN
$EARN $ONE $ALL $HUBS $AGO
$I $ATE $HD"
