Company,Date,Tweet
$HD,11/29/18 23:49,"Macy's $M settled -2.0% at $33.74. S/t price structure is a bear flag. If the main market rolls over, support 29s,â€¦ https://t.co/u2uZpjrZIE"
$HD,11/29/18 23:34,$HD just out of a 2B reversal held up at the mid BB
$HD,11/29/18 23:20,Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/wTSaPseGsa $TGT $LOW $LB $HD https://t.co/Frs5n6LNMc
$HD,11/29/18 23:12,"@JoshManMode where do you buy the toys?
is it $HD or your local hardware store?"
$HD,11/29/18 22:54,Blue Chip Partners Has Lifted By $1.00 Million Its Home Depot (HD) Position ... https://t.co/YptH3RQKKw $HD #stocks #stockmarket
$HD,11/29/18 22:30,Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/VXpJlOE9G4 $TGT $LOW $LB $HD https://t.co/AOuNy5HAY9
$HD,11/29/18 21:45,$KSS $EFX $DIS $JCI $C $UNH $XOM $ABT $ZAYO $GIS $HD $JWN $ALL $MCD $DG $PFE $PM $V $MO $JNJ $HRB $NCLH Largest MOCâ€¦ https://t.co/LAtkwEuAfg
$HD,11/29/18 21:22,"As Ford Mtr Co Del $Call $F Share Value Declined, Masters Capital Management Increased Holding; Alethea Capital Manâ€¦ https://t.co/pm3W1vsmbL"
$HD,11/29/18 21:06,"$HD Home Depot, Inc. (The) SEC Filing: Form 424B2 https://t.co/MUGhrfIv9f"
$HD,11/29/18 20:53,@DinoFazio @petenajarian $kss $tgt $m $wmt Market is anticipating a slow down next year. These stores are investingâ€¦ https://t.co/AfwcV6UL9a
$HD,11/29/18 20:53,"Interesting notes on M-V Optimization exercise: $LULU is much less correlated than other stocks, possibly due to thâ€¦ https://t.co/EkZFIOF9AH"
$HD,11/29/18 20:50,#estate asset watch- price x volume leaders today - $AMZN $AAPL $NFLX $BABA $FB $MSFT $NVDA $AMD $TWTR $BA $QCOMâ€¦ https://t.co/zBIdJ49zka
$HD,11/29/18 20:45,"$HE $SWAY $ONE $ACRE $TOO $MAIN
$IT $PAY $TWO $SEAS $AGO
$BWA! $I $MET $MS $HD"
$HD,11/29/18 20:43,"$HD perfect deal Risk / Reward Ratio 1:3 
#stockmarket #SPY #QQQ https://t.co/USwR4iRFn3"
$HD,11/29/18 20:40,Made $20K today. Thanks to the option trade alerts from https://t.co/mQJ0u5cyYD $LNG $NTES $XNET $JD $QCOM $ADTNâ€¦ https://t.co/uRZLfT2S92
$HD,11/29/18 20:29,Office Depot turns its empty retail space into WeWork-like office rentals - Company recently posted positive earninâ€¦ https://t.co/n4vWGeFZPY
$HD,11/29/18 20:10,Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/wP3CSBOTDQ $TGT $LOW $LB $HD https://t.co/mgEWPgaxkC
$HD,11/29/18 20:05,Deal or no deal? Probably already decided. Does it matter if Navarro @G20? $spy $dia $uco $iwm $gld $uup $jpm $bacâ€¦ https://t.co/sF58ocokcJ
$HD,11/29/18 19:30,Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/Lbibff5eL3 $TGT $LOW $LB $HD https://t.co/WhoTa5m1Zz
$HD,11/29/18 19:19,"RT @Greenbackd: Joel Greenblattâ€™s Gotham Asset Management Top Ten Positions at 9-30-2018: 

1. $WMT Walmart
2. $AAPL Apple
3. $VZ Verizon
4â€¦"
$HD,11/29/18 18:58,Walmart and Home Depot have pulled some planned purchases forward to get ahead of any potential increases or expansâ€¦ https://t.co/9Ye5zbdhdn
$HD,11/29/18 18:58,"$HD:

Home Depot Prices US$3.5bn Bond While Weathering Sluggish â€¦:

https://t.co/0X9cMhW1og"
$HD,11/29/18 18:55,Can $xlf go higher amid new rate hiking expectations? $spy $dia $gld $iwm $uco $xle $xlk $xlb $xli $xlp $xly $xluâ€¦ https://t.co/jBDe3MosPv
$HD,11/29/18 18:44,Pending U.S. home sales tumble to 4-year low in latest sign of a housing-market correction  https://t.co/B8I2LFFQrzâ€¦ https://t.co/UmHSBf154E
$HD,11/29/18 18:27,Lowe\'s Stock: Can We Expect Upside Potential? $HD $WSM $XHB $LOW https://t.co/XNwlucP8uB https://t.co/ws0ApLbkxm
$HD,11/29/18 18:19,"As Home Depot $HD Stock Value Rose, Holder Ajo LP Trimmed Position by $2.04 Million; As Abbvie $ABBV Valuation Declâ€¦ https://t.co/3Il2gAuw2D"
$HD,11/29/18 18:17,"Home improvement looks stronger than home construction, analyst says
https://t.co/VbBRLdWsMq @CNBC  $low $hd"
$HD,11/29/18 18:13,"RT @Greenbackd: Joel Greenblattâ€™s Gotham Asset Management Top Ten Positions at 9-30-2018: 

1. $WMT Walmart
2. $AAPL Apple
3. $VZ Verizon
4â€¦"
$HD,11/29/18 18:01,"As Cardinal Health $CAH Share Value Declined, Keystone Financial Planning Lifted by $937,296 Its Holding; Home Depoâ€¦ https://t.co/TjM31IlLRQ"
$HD,11/29/18 17:51,$HD  Shout out to SA Contributor Nicholas Ward for using #performance #historical #fastraphs in his article:â€¦ https://t.co/yctl2QkQH2
$HD,11/29/18 17:50,Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/6ODCrlzz2T $TGT $LOW $LB $HD https://t.co/56GPCUJEkj
$HD,11/29/18 17:25,I'm expecting a bounce in retail stocks once the market realizes holiday spending is strong. I like $TGT $HD andâ€¦ https://t.co/0CzA5r5IZg
$HD,11/29/18 17:10,Target and Lowe's Have Their Eyes on the Long-Term Prize https://t.co/9ZfqJ3AmBZ $TGT $LOW $LB $HD https://t.co/kSZJpQ1lsi
$HD,11/29/18 17:06,Home Depot  $HD Shareholder Private Trust Co Lifted Holding; Teachers Retirement System Of The State Of Kentucky Loâ€¦ https://t.co/eKsxKLW7tN
$HD,11/29/18 17:00,"Centerstate Bk $CSFL Holder Seidman Lawrence B Cut Its Holding; As Home Depot  $HD Stock Price Rose, Clifford Swanâ€¦ https://t.co/Ta8kQ9aoyW"
